[Wed Aug 11 2021 18:38:32 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /
[Wed Aug 11 2021 21:56:29 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=187.19.245.252  |  Req_page= /

[Wed Aug 11 2021 21:56:29 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=187.19.245.252  |  Req_page= /favicon.ico

[Wed Aug 11 2021 21:56:32 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=187.19.245.252  |  Req_page= /

[Wed Aug 11 2021 21:57:10 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:57:12 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:57:50 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:57:51 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:58:03 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:58:04 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:59:19 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:59:25 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 21:59:26 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:00:24 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:00:25 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:00:30 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:00:30 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:02:02 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:03:27 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:03:28 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:11:07 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:11:08 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:11:38 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:11:51 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2a03:2880:22ff:74::face:b00c  |  Req_page= /

[Wed Aug 11 2021 22:11:52 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2a03:2880:22ff:15::face:b00c  |  Req_page= /

[Wed Aug 11 2021 22:11:53 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2a03:2880:ff:f::face:b00c  |  Req_page= /

[Wed Aug 11 2021 22:11:54 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2a03:2880:11ff:3::face:b00c  |  Req_page= /?fbclid=IwAR0gCFcHweuF-vdf-rHbiwkYqsXSZCEC8CvsBSVWg9Wdrsyn0Op-oUb4bQk

[Wed Aug 11 2021 22:12:28 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2a03:2880:30ff:74::face:b00c  |  Req_page= /?fbclid=IwAR3W6lVbiwp-14pfAVrhxJ_7UXXalHgaE-pFB9Ea6d5iguoR5Ps-RcZxuXE

[Wed Aug 11 2021 22:15:05 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2804:7f7:2480:36a3:91bb:eb72:b0e3:8176  |  Req_page= /

[Wed Aug 11 2021 22:15:05 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2804:7f7:2480:36a3:91bb:eb72:b0e3:8176  |  Req_page= /favicon.ico

[Wed Aug 11 2021 22:16:34 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:16:35 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:16:52 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:16:59 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:17:00 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=::1  |  Req_page= /

[Wed Aug 11 2021 22:19:57 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2a03:2880:22ff:10::face:b00c  |  Req_page= /

[Wed Aug 11 2021 22:19:58 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2a03:2880:22ff:c::face:b00c  |  Req_page= /

[Wed Aug 11 2021 22:20:00 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2a03:2880:ff:d::face:b00c  |  Req_page= /

[Wed Aug 11 2021 22:21:09 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2a03:2880:30ff:d::face:b00c  |  Req_page= /?fbclid=IwAR3wFfEJyM1Q8n2sPdnU0X7ybSXP3AwGkSme6fFqZ6BkbYodvi2f44jzOsg

[Thu Aug 12 2021 15:55:23 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2804:29b8:50da:ad8:5589:e914:c138:411e  |  Req_page= /

[Thu Aug 12 2021 15:56:04 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2804:29b8:50da:ad8:5589:e914:c138:411e  |  Req_page= /

[Thu Aug 12 2021 15:56:05 GMT-0300 (Horário Padrão de Brasília)]:  |  Ip=2804:29b8:50da:ad8:5589:e914:c138:411e  |  Req_page= /

